>NC_013748.1_42	ce87c8d1ecdb45b3130d3a47a69a0147	59	SUPERFAMILY	SSF57783	Zinc beta-ribbon	7	38	7.14E-6	T	21-06-2023	-	-
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	Pfam	PF13614	AAA domain	6	194	2.2E-18	T	21-06-2023	IPR025669	AAA domain
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	Coils	Coil	Coil	174	194	-	T	21-06-2023	-	-
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	6	283	9.92E-24	T	21-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	Gene3D	G3DSA:3.40.50.300	-	2	285	5.6E-39	T	21-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	CDD	cd02042	ParAB_family	6	225	8.83375E-12	T	21-06-2023	-	-
>NC_013748.1_62	1f1365972aacba105a6570733e82a618	285	PANTHER	PTHR13696	P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASE	5	276	9.3E-24	T	21-06-2023	-	-
>NC_013748.1_85	e615efe2a6abea6fd0eb0314bbf3db8c	598	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	21-06-2023	-	-
>NC_013748.1_85	e615efe2a6abea6fd0eb0314bbf3db8c	598	MobiDBLite	mobidb-lite	consensus disorder prediction	520	548	-	T	21-06-2023	-	-
>NC_013748.1_85	e615efe2a6abea6fd0eb0314bbf3db8c	598	MobiDBLite	mobidb-lite	consensus disorder prediction	520	535	-	T	21-06-2023	-	-
>NC_013748.1_85	e615efe2a6abea6fd0eb0314bbf3db8c	598	MobiDBLite	mobidb-lite	consensus disorder prediction	1	15	-	T	21-06-2023	-	-
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	PANTHER	PTHR10763	CELL DIVISION CONTROL PROTEIN 6-RELATED	6	312	7.9E-27	T	21-06-2023	-	-
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	4	250	1.22E-36	T	21-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	Coils	Coil	Coil	217	237	-	T	21-06-2023	-	-
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	CDD	cd00009	AAA	24	173	2.27929E-7	T	21-06-2023	-	-
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	257	336	1.11E-6	T	21-06-2023	IPR036390	Winged helix DNA-binding domain superfamily
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	Gene3D	G3DSA:1.10.8.60	-	7	256	9.6E-56	T	21-06-2023	-	-
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	Gene3D	G3DSA:3.40.50.300	-	19	181	9.6E-56	T	21-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	Pfam	PF13401	AAA domain	46	148	1.9E-9	T	21-06-2023	IPR003593	AAA+ ATPase domain
>NC_013748.1_97	8f1cf20cb6db0139ed4e25e681a2aee2	343	SMART	SM00382	AAA_5	41	178	1.7E-4	T	21-06-2023	IPR003593	AAA+ ATPase domain
>NC_013748.1_8	599bfafc6f6e0a7a44f646bef18b2ff5	174	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	21-06-2023	-	-
>NC_013748.1_87	cef57f8ce5021476caa80fc187ad53ee	63	MobiDBLite	mobidb-lite	consensus disorder prediction	1	63	-	T	21-06-2023	-	-
>NC_013748.1_87	cef57f8ce5021476caa80fc187ad53ee	63	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	21-06-2023	-	-
>NC_013748.1_82	65c2235408dbbebd13fdd4b556f8f359	106	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	24	90	1.56E-7	T	21-06-2023	IPR036390	Winged helix DNA-binding domain superfamily
>NC_013748.1_82	65c2235408dbbebd13fdd4b556f8f359	106	Gene3D	G3DSA:1.10.10.10	-	21	102	1.4E-6	T	21-06-2023	IPR036388	Winged helix-like DNA-binding domain superfamily
>NC_013748.1_82	65c2235408dbbebd13fdd4b556f8f359	106	MobiDBLite	mobidb-lite	consensus disorder prediction	83	106	-	T	21-06-2023	-	-
>NC_013748.1_82	65c2235408dbbebd13fdd4b556f8f359	106	Pfam	PF09339	IclR helix-turn-helix domain	33	70	7.1E-6	T	21-06-2023	IPR005471	Transcription regulator IclR, N-terminal
>NC_013748.1_41	0309db598b676b797cbd8e95aa45ece0	90	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	21-06-2023	-	-
>NC_013748.1_80	d15903ce964b9db660e2dd983a64ce19	210	MobiDBLite	mobidb-lite	consensus disorder prediction	12	31	-	T	21-06-2023	-	-
>NC_013748.1_80	d15903ce964b9db660e2dd983a64ce19	210	MobiDBLite	mobidb-lite	consensus disorder prediction	1	48	-	T	21-06-2023	-	-
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	Gene3D	G3DSA:1.10.287.110	DnaJ domain	132	195	1.9E-12	T	21-06-2023	IPR036869	Chaperone J-domain superfamily
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	ProSiteProfiles	PS50076	dnaJ domain profile.	142	195	10.878922	T	21-06-2023	IPR001623	DnaJ domain
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	Coils	Coil	Coil	173	193	-	T	21-06-2023	-	-
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	SMART	SM00271	dnaj_3	141	195	1.0E-5	T	21-06-2023	IPR001623	DnaJ domain
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	MobiDBLite	mobidb-lite	consensus disorder prediction	50	69	-	T	21-06-2023	-	-
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	SUPERFAMILY	SSF46565	Chaperone J-domain	144	193	9.03E-13	T	21-06-2023	IPR036869	Chaperone J-domain superfamily
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	21-06-2023	-	-
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	CDD	cd06257	DnaJ	146	190	5.26272E-8	T	21-06-2023	IPR001623	DnaJ domain
>NC_013748.1_74	89375630d76cefdc326cae7fcced8775	196	Pfam	PF00226	DnaJ domain	146	192	3.2E-8	T	21-06-2023	IPR001623	DnaJ domain
>NC_013748.1_27	47209082402735d97ba3911356ad5f81	418	MobiDBLite	mobidb-lite	consensus disorder prediction	46	65	-	T	21-06-2023	-	-
>NC_013748.1_27	47209082402735d97ba3911356ad5f81	418	MobiDBLite	mobidb-lite	consensus disorder prediction	45	81	-	T	21-06-2023	-	-
>NC_013748.1_27	47209082402735d97ba3911356ad5f81	418	Coils	Coil	Coil	384	411	-	T	21-06-2023	-	-
>NC_013748.1_88	5c031a31b6ed31a6f4cc1dfbbb23bdb3	167	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	21-06-2023	-	-
>NC_013748.1_28	3b76e4413d28d8fe66bae5ab19598716	559	MobiDBLite	mobidb-lite	consensus disorder prediction	538	559	-	T	21-06-2023	-	-
>NC_013748.1_28	3b76e4413d28d8fe66bae5ab19598716	559	MobiDBLite	mobidb-lite	consensus disorder prediction	223	239	-	T	21-06-2023	-	-
