KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	Pfam	PF07669	Eco57I restriction-modification methylase	785	880	2.1E-14	T	26-06-2023	IPR011639	Type II restriction enzyme and methyltransferase RM.Eco57I-like
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	473	966	2.4E-50	T	26-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	Pfam	PF12950	TaqI-like C-terminal specificity domain	1000	1158	4.3E-16	T	26-06-2023	IPR025931	TaqI-like C-terminal specificity domain
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	Pfam	PF20473	MmeI, DNA-methyltransferase domain	524	616	1.4E-10	T	26-06-2023	IPR046816	MmeI-like, DNA-methyltransferase domain
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	PANTHER	PTHR33841	DNA METHYLTRANSFERASE YEEA-RELATED	221	1372	2.1E-102	T	26-06-2023	-	-
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	281	900	3.21E-60	T	26-06-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	Coils	Coil	Coil	1336	1356	-	T	26-06-2023	-	-
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	ProSitePatterns	PS00092	N-6 Adenine-specific DNA methylases signature.	788	794	-	T	26-06-2023	IPR002052	DNA methylase, N-6 adenine-specific, conserved site
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	487	503	1.2E-15	T	26-06-2023	-	-
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	540	554	1.2E-15	T	26-06-2023	-	-
KX906370.1_183	f43e0d7b7cf26d50dfb0f9466f1e95f8	1381	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	785	797	1.2E-15	T	26-06-2023	-	-
