WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	25	47	-	T	02-05-2023	-	-
WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	48	66	-	T	02-05-2023	-	-
WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	85	96	-	T	02-05-2023	-	-
WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	1	24	-	T	02-05-2023	-	-
WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	27	49	-	T	02-05-2023	-	-
WP_157884856.1	06b1aa2844d92ffc1f2556e2250bacf9	96	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	67	84	-	T	02-05-2023	-	-
WP_276257232.1	27ab58a8500e8b985656ebf47e97317d	372	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	30	-	T	02-05-2023	-	-
WP_276257232.1	27ab58a8500e8b985656ebf47e97317d	372	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	30	-	T	02-05-2023	-	-
WP_276257232.1	27ab58a8500e8b985656ebf47e97317d	372	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	7	29	-	T	02-05-2023	-	-
WP_276257232.1	27ab58a8500e8b985656ebf47e97317d	372	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	24	-	T	02-05-2023	-	-
WP_276257232.1	27ab58a8500e8b985656ebf47e97317d	372	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	341	363	-	T	02-05-2023	-	-
